post_author,post_author_link,post_content,post_time,author_postCount,author_joinDate,post_head
baronobeefdip,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=121546,"I actually just got it working in a script, but when the script finishes executing the lights turn off, how do I make them stay on through the script. I have the PWM working in a function because I am using it to control a RC vehicle. the code is below, the variable value designates a number between 0 to 100
CODE: SELECT ALL
import time
import RPi.GPIO as GPIO
def trigger(value):
  GPIO.setmode(GPIO.BCM)
  GPIO.setup(21,GPIO.OUT)
  p.start(value)
  p = GPIO.PWM(21, 50)
  p.ChangeDutyCycle(value)


The remove control sends in a number to take the place of the variable named value, I do see the lights blink but they don't stay constant enough in order to shine long enough to show that PWM is working."," Fri Jan 22, 2016 7:42 pm",76,"Sat Sep 27, 2014 11:20 am","Pulse Width Modulation isn't working"
barryjarvis,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=58582,"My wife likes to decorate the house at Halloween, but this year i thought i'd like to go one further.

So, with a Raspberry Pi, some speakers and a PIR sensor, i've created a really simple project that should make some kids jump next week

My Python is weak at best, but thanks to the awesome script from RaspberryPi-Spy.co.uk for the PIR detection i managed to do the rest.

I use mpg123 for audio playback.
I know there would be a better way to randomise the track too (rather than setting a variable to a random number as i do), but i don't know how

Anyway, here's the code:

CODE: SELECT ALL
#!/usr/bin/python
#
# Original code for PIR detection from RaspberryPi-Spy.co.uk
# Modified and added to by Barry Jarvis.
#
#+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
#|R|a|s|p|b|e|r|r|y|P|i|-|S|p|y|.|c|o|.|u|k|
#+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
#
# pir_1.py
# Detect movement using a PIR module
#
# Author : Matt Hawkins
# Date   : 21/01/2013


# Import required Python libraries
import RPi.GPIO as GPIO
import time
from subprocess import Popen
from random import randint

# Use BCM GPIO references
# instead of physical pin numbers
GPIO.setmode(GPIO.BCM)

# Define GPIO to use on Pi
GPIO_PIR = 4

print ""PIR Module Test (CTRL-C to exit)""

# Set pin as input
GPIO.setup(GPIO_PIR,GPIO.IN)      # Echo

Current_State  = 0
Previous_State = 0
# Set track number to play
Current_Track = 1

try:
   
    print ""Ready to scare little kids...""
   
    # Loop until PIR output is 0
    while GPIO.input(GPIO_PIR)==1:
        Current_State  = 0
   
    # Loop until users quits with CTRL-C
    while True :
       
        # Read PIR state
        Current_State = GPIO.input(GPIO_PIR)
       
        if Current_State==1 and Previous_State==0:
            # PIR is triggered
            print ""Scaring People!""
            Popen([""mpg123"", ""audio/%s.mp3"" % Current_Track])
            # Choose a new random track to play next
            Current_Track = randint(1,5)
            # Record previous state
            Previous_State=1
        elif Current_State==0 and Previous_State==1:
            # PIR has returned to ready state
            print ""  Waiting to pounce...""
            Previous_State=0
       
        # Wait for 10 milliseconds
        time.sleep(0.01)

except KeyboardInterrupt:
    print ""  Quit""
    # Reset GPIO settings
    GPIO.cleanup()


I'm sure one of you clever chaps could take this quite a bit further, but with hopefully this will give another beginner like myself a starting point

So, the plan is, create a make-shift rainproof enclosure for the RPi and PIR sensor and couple it up to some hidden speakers just by the front gate.
Little kid walks by, triggers PIR and gets a random scary noise blasted at him!"," Tue Oct 22, 2013 1:45 pm",8,"Fri Feb 22, 2013 1:53 am","Simple Halloween Scary Noise Player :)"
bassman6805,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=176258,"I am trying to connect a wired ps3 controller to my pi3 with a wired connection. I was able to edit the config and get the controller to work in the emulation station menu. When I go to do the config input on the controller it will not accept any of my buttons except up and down to scroll through the different buttons. Can someone give me some ideas as to why the controller is detected but I can't seem to get the buttons to be recognized to configure the controller?"," Wed Apr 20, 2016 9:51 am",10,"Thu Feb 04, 2016 10:32 am","Retropie PS3 controller issue"
Bastinazo,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=164910,"I have installed your transcoder package tool manually cause I use raspbian wheezy for transcoding. However ""http-launch"" shows me this error


""** (http-launch:3193): WARNING **: Cannot autolaunch D-Bus without X11 $DISPLAY""

Is there any other option for launching transcoding.py in raspbian wheezy ?


Thxs in advance !!"," Tue Dec 01, 2015 12:17 pm",1,"Tue Nov 10, 2015 4:07 am","Real Time Transcoding of DVB TV Streams"
batman_d408,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=185723,"Hii..
Well, if you wish to monitor real time status of devices on a web application , you can use this extremely easy to use, plug and play board Particle-Photon. This can be used to monitor status of sensors easily via I2C interface and the data can be collected by you with the PARTICLE-PHOTON board using I2C interface for serial communication. The data collected by PARTICLE from the sensing element or a device is sent onto the cloud and is also easily accessible on website particle.io and on â€œPARTICLEâ€ application .
This is quite a simple task to do and of much fun. For all the information as to how to go about it, and repositories from where you can get the codes for it : you can just visit the following you tube links depicting the data from varied sensors being sent on a web application.
https://www.youtube.com/watch?v=-_DfUd9Ug9w
https://www.youtube.com/watch?v=I94L7PsU_ug
https://www.youtube.com/watch?v=9NS0BtwOHok

Also, I hope this step by step instructable also help you out :
http://www.instructables.com/id/Particle-Photon-ADT75-Temperature-Sensor-Tutorial/

Thanks.."," Thu Apr 14, 2016 2:07 am",2,"Wed Apr 06, 2016 12:58 am","Publishing real time data to a web apllicatio"
batway64,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=154124,"I am looking for groups/or individuals interested in introducing Raspberry Pi projects in Zimbabwe. I already have some of the items needed to start. I also manufacture Aluminum Cases which I am willing to donate to the cause. Lets make a difference!!!!"," Mon Jul 27, 2015 1:01 pm",3,"Sat Jul 18, 2015 9:56 am","Projects in Africa, Zimbabwe"
Baxter,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=60771,"This is excellent, thank you so much! Any chance of some sort of iCade support also?"," Fri Mar 08, 2013 6:19 am",3,"Fri Mar 08, 2013 6:15 am","MAME4ALL for Pi"
BBUK,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=46636,"Thanks pudding - I'll give this a go.

I've looked at the Makefile on git and notice that you appear to have cross-compiled. I don't have a cross-compile environment set up (yet!) and wonder if you have tried to compile this on a R-Pi (with edits to the Makefile)? (I would like to get joystick support going and am happy to help if you are not already working on this.)

Rgds"," Tue Mar 05, 2013 9:39 am",106,"Tue Dec 18, 2012 3:34 am","MAME4ALL for Pi"
Beagle1,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=167396,"Would

http://www.ebay.co.uk/itm/Etronix-4-8V- ... Sw5VFWH8WJ

allow me to run my Rpi off a 6volt scooter battery? If so does anyone have experience of this?

If not is there somthing else I could use?

TIA"," Thu Dec 03, 2015 1:36 pm",10,"Wed Dec 02, 2015 5:30 am","Voltage regulator"
bearsfan654,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=66273,"So I want to use a button on a breadboard to start a Python program that powers two stepper motors. However, the motor driver kit for the stepper motors is connected to the Pi like this. I'm not sure how to connect wires from this configuration to the breadboard and start the program. Here's another link to the motor driver kit.

Also, how would I make Python listen for the button-press to start the program?"," Mon Jan 11, 2016 12:59 pm",16,"Tue Apr 16, 2013 4:53 pm","How to connect driver kit and breadboard to s"
beatmag,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=16350,"is samba stable enough for 24/7 operation?"," Fri Aug 10, 2012 1:50 am",25,"Sat Apr 21, 2012 10:28 pm","Samba Performance"
beginnerPi,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=137359,"Mark_T wrote:
When implementing a servomotor, which is what a PID loop controlling a motor is,
you are wise to avoid using slow decay mode, and ensuring the PWM frequency
is high enough.

The best set up is to use synchronous rectification (like fast decay except
the bridge is always driven, PWM reverses the direction, so that 50% PWM = stationary,
0% is backwards, 100% is forwards). This mode is lossier (magnetic losses
in the motor), but better behaved at stationary (which is what you want for balance).

Because of the need for relatively high PWM frequency you may find the L298 is
just too slow. A MOSFET bridge may proof more capable. However it all depends
on the motor and how loaded it is.


Yes i noticed its a bit slow ..but i have seen people achieving this using L298 and MPU6050 with Pi . What am i missing here ... ? I have included the code .."," Sun Mar 01, 2015 10:24 am",5,"Thu Feb 26, 2015 11:49 am","Python Based Self-Balancing Robot using MPU60"
begood2,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=124129,"Thank you @observing for your thoughts! You've helped me get a good start with this project! If you're interested in the second forum post I've just completed (to see how things develop), go here: https://www.raspberrypi.org/forums/viewtopic.php?p=874422#p874422

P.S.- The link above is filed under the ""Python"" forum section."," Sat Jan 02, 2016 1:33 pm",23,"Tue Oct 28, 2014 7:15 am","Pinewood Derby Sensors Project Help"
benjamin7785,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=110375,"Very nice!
I'm working on a similar project utilising the canon selphy cp-910. but how did you manage to get this one to work. Because CUPS doesn't list this printer. Any suggestion on how to install it on the raspbian would be great because I struggle to work that out on my own currently.
Do you think you can post some code? Cause what you did is pretty much perfect!
Cheers Ben"," Mon May 19, 2014 11:49 pm",25,"Mon May 19, 2014 11:27 pm","Thought id share: Wedding Photo Booth [FULL S"
benjaminchodroff,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=177281,"I have posted my aquarium monitor on freeboard and have a slideshow which overviews some of the probes and psuedo code (python) used on my raspberry pi.

https://freeboard.io/board/l1XbFY

http://www.slideshare.net/benjaminchodroff/iot-aquarium

I am also using IBM BlueMix for the IOT Foundation Integration, NodeRED for monitoring with Twilio alerts, and hadoop analytics big data."," Mon Feb 22, 2016 11:27 am",2,"Fri Feb 12, 2016 5:43 pm","Aquarium monitor"
benjaminlunsky,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=28636,"ok for all those interested I finally got this working.
Seems like pynma is a branch of pyrowl, so if you navigate to (I used chromium browser on my Pi):
https://github.com/babs/pyrowl/tree/master
click on 'setup.py', it'll load in a new screen. Choose the RAW option and save as setup.py
Go back, click on pyrowl directory, click on 'pyrowl.py', choose RAW option and save as pyrowl.py
I mimicked the directory structure (with pyrowl.py in a pyrowl directory) and ran
'sudo python setup.py install'
Then run your test app in the same folder as pyrowl.py and it works!
Good luck!"," Sun Aug 19, 2012 8:36 am",2,"Wed Aug 01, 2012 1:02 pm","Burglar alarm / iPhone alerts from RPi"
benmason,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=53059,"Good evening all,

I have successfully coded a program in python to read temperature data from a BS18B20 1 wire sensor and log it in a daily email to give me an overview of temperature changes.

My next move is to make this program run at startup, however I have hit a stumbling block. I have to issue the following after each reboot to allow the program to read the sensor.

CODE: SELECT ALL
sudo modprobe w1-gpio
sudo modprobe w1-therm


Is there a way this can be automatically issued on startup, allowing full automation of my project?

I have tried a few thing on google like adding the commands to the /etc/modules file but this did not work.

Many Thanks

Ben"," Thu Feb 28, 2013 4:44 pm",21,"Sat Jan 19, 2013 12:40 pm","Adding Modprobe w1-gpio / Modprobe w1-therm t"
benoitc,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=179549,"thanks for the answers will try today with the spares I get"," Sat Mar 05, 2016 2:16 am",2,"Tue Mar 01, 2016 2:17 am","pi 3 cases"
BENSALVAGE,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=152042,"Currently installing raspian again, however it did not show me the remote repository however it was a different symbol to the SD CARD for other operating systems is that correct, no sub-menus to select ?"," Fri Feb 05, 2016 1:08 pm",65,"Thu Jun 25, 2015 11:57 am","Arduino IDE"
bensimmo,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=129373,"Similar problem here, Just setup a B+ for the first time (Christmas 2014 if anyone searches this) and kids noticed Minecraft, so we are following the official website learning resources http://www.raspberrypi.org/learning/get ... rksheet.md
and it mentions use IDLE not IDLE3

Well no such thing as IDLE or even IDLE3 on the desktop or in hte Menu. Minecraft was in the Menu under Games.

So we are now stuck, thought the initial Learning would be straight forward but fallen at the first hurdle.

Tried Python from the menu and the given commands but that just errors.
Grumpy kids, well on eis getting board and the other is building a world the traditional way

HELP, don't want to put them off before they've even started."," Sun Dec 28, 2014 8:09 am",18,"Sun Dec 28, 2014 8:02 am","Adventures in Minecraft"
BernardUK,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=4748,"Being a regular purchaser of the dowlnoad PDF version of the magazine, how may one get the listings without purchasing a second time (and more expensively) via !Store?

(Copy/pasting from a PDF reader does not properly honour the many line-breaks)."," Wed Mar 25, 2015 8:25 am",7,"Tue Dec 06, 2011 1:34 pm","Out Now! Drag 'N Drop Vol.6 No.2"
bertwert,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=79843,"Thanks Dougie for covering for me.

I have been inactive on these forums for a while..."," Sat Nov 07, 2015 1:50 pm",584,"Tue Aug 13, 2013 1:15 pm","Controlling a 7 segment 4 digit display with "
bestd25,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=164969,"danjperron wrote:
Hey I do have the same chassis!



I build mine more than 2 years ago and it is still operational!

It is always ON since I do have a USB powerpack. Very nice to check the house on the net!



I only change the PI B original to a PI A.

But I think I will do a fully rebuild on it. I'll check what you did!


Ah very nice! I love the black chassis.

Thats a good idea, using it to check on the house!"," Thu Dec 31, 2015 9:33 am",10,"Tue Nov 10, 2015 2:22 pm","Build your own Pi Car!! (4WD/Semi-autonomous)"
Bianco,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=114562,"Alternatively, you could try the job joan did."," Mon Sep 01, 2014 9:44 am",38,"Sun Jul 13, 2014 2:41 pm","Python + 433MHz RF Transmitter and Receiver"
bidinou,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=85376,"Okay, I finally found a satisfying solution : using the dosbox build from the RetroPie project. Dynamic mode is enabled, no opengl output (only surface) but scalers work and display is fullscreen. The result is pretty good with the ""tv2x"" scaler (nice scanlines). There is tearing though (and enabling fullscreen + fulldouble makes it slow)."," Sat Apr 16, 2016 4:00 am",67,"Fri Sep 27, 2013 1:53 am","DOSBOX with GLES2 + tv shader + dynamic recom"
Bigcat123,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=32234,"Marlon G. wrote:
So here is the Video from today:
VIDEO #2
It is much better, but it was not the best flight from today, unfortunately it is the only video we made.

A little bit about the Hardware:
- 4x Robbe Roxxy 2827/34 Brushless Motor
- 4x BL-Ctrl V1.2 (http://mikrokopter.de/ucwiki/en/BL-Ctrl_V1.2)
- Raspberry Pi
- Arduino+RFM12 for Radio transmission over ttyUSB0
-MPU6050 Motion Sensor (Gyro+Acc)
-3-Axis Digital Compass HMC5883L (not in use)
-ublox5 GPS (not in use)
-WiFi Dongle to ssh into the RPi (I tried to use it for Radio control but that do not work very good)

Hardware that should be add:
-barometric Sensor
-5x Ultrasonic Rangesensor
- maybe new Radio system with Xbee Pro

The Software is mostly written by my own and so most Parameter (like PID) are not compareable to other Quadrotors.

The Software reads the Sensordata with 300hz-500hz and controls the Motors with 50hz.
Most of the time the Software waits for Sensordata because IÂ²C is ""slow"". The actual computation takes barely no time (everything with floating point Numbers).

Marlon


How on earth did you get Brushless motors to work?!"," Sun Apr 14, 2013 1:14 pm",224,"Thu Aug 23, 2012 7:41 am","Quadcopter+Raspberry Pi = PiCopter"
BigEndian,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=21791,"Dark wrote:
8-9megabyte/s with ext4 external hd (3.5""). Off course when transferring small files the speed drops.


do you get this speed on reading or on writing data to the raspberry?

I got around 4,5megabyte/s on reading and just 3megabyte/s on writing with an ext4 external hd.

I've then added the following line to smb.conf:

CODE: SELECT ALL
socket options = TCP_NODELAY SO_RCVBUF=65535 SO_SNDBUF=65535


now I have around 7,5megabyte/s on reading but still just 4megabyte/s on writing.

I measured my pure USB HDD performance on raspian with the following commands:

writing:
CODE: SELECT ALL
dd if=/dev/zero of=/media/usb0/test.tmp bs=500K count=1024


reading:
CODE: SELECT ALL
dd if=/media/usb0/test.tmp of=/dev/null bs=500K count=1024


and I get around 9megs on writing and over 30megs on reading, so there must be another bottleneck. top told me about 40% CPU wait time. Is there any possibility to optimize the samba performance further?"," Tue Aug 07, 2012 3:24 pm",19,"Tue Jun 19, 2012 11:50 am","Samba Performance"
bighat10,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=169474,"lets say there is no useful information online, is there another way? I rarely can find any useful info for the cheaper $10-20 RCs"," Sun Dec 20, 2015 9:01 pm",3,"Fri Dec 18, 2015 7:09 pm","find Hbridge max amperage?"
billb,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=35595,"Ended up running ""PiPong"" straight from the code included on the disc -- the program itself is fine, but as mentioned above trying to enter the code directly from the magazine is a nightmare.

Tried the invaders game you linked and that works fine, too. Except I don't see how to exit when running it directly from terminal without X ... ? Same thing with PiPong if I remember correctly."," Mon Oct 29, 2012 5:54 am",177,"Wed Sep 19, 2012 3:27 pm","Linux User & Developer #117 - PiPong"
Billouris1,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=164611,"thanks i'll have a look."," Thu Dec 17, 2015 6:00 am",2,"Fri Nov 06, 2015 6:55 pm","Home Easy HE-107"
Billy_Shears,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=187546,"Hi everyone,
I am brand new to this.
I need my hand held to get started on my first project.
I'd like to make a controller that rings our PA system bell at set times, similar to a school bell system.

WHAT I WANT TO MAKE
The ""bell timer"" to remember when to ring the bell and for how long to ring each time.
The timer to be able to be programmed for a 7 day cycle.
A LAN connection so that I can access and program the actual ringing times via one of our net-worked computers.
A set of contacts to control the PA system ringer.

WHAT I NEED
Some advice on what I need to buy to get started on this project.
regards
Billy."," Mon Apr 18, 2016 6:33 pm",1,"Mon Apr 18, 2016 6:23 pm","PA system bell timer - lost newbie"
bimbocinese,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=120162,"I'm pleased to share this new project named PiFlic.
It's an easy project that i've made to understand how Flic smart button can work with Raspberry Pi.
DIY on: http://www.instructables.com/id/PiFlic-Flic-wireless-smart-button-Raspberry-Pi/"," Tue Dec 01, 2015 11:57 am",5,"Thu Sep 11, 2014 11:28 am","PiFlic project - Raspberry Pi and Flic smart "
binarynumber,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=152076,"Hi there,
maybe a passive infrared sensor would help? Have a look here [url]https://www.adafruit.com/products/189/url]
You could fix it to the roof so it can detect the heat from your face arms ect. Have a look at the parent detector in the make category on the raspi site; it might be some help with wiring and maybe with the coding. I am no help there as I am a noobee.
Good luck,
BN."," Sun Jul 26, 2015 1:48 am",5,"Thu Jun 25, 2015 10:56 pm","Sensing a Human"
biosec,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=184609,"What should I use to drive a 12v dc 12.6 amp motor? I have a dual H-bridge L293D on a breakout board that I intend to use as my driver, but I need to boost my power. Any suggestions?"," Tue Mar 29, 2016 9:09 pm",1,"Tue Mar 29, 2016 9:00 pm","controlling 12v dc 12.6 amp motor"
birbilis,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=185065,"You can see

Analog Inputs for Raspberry Pi Using the MCP3008
https://learn.adafruit.com/reading-a-an ... i/overview"," Fri Apr 01, 2016 2:05 pm",1,"Fri Apr 01, 2016 2:04 pm","analogRead() in wiringPi"
bishopcomputerdesign,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=109529,"very cool
how are the temp's? is it OC'd ?"," Fri May 09, 2014 12:22 pm",21,"Fri May 09, 2014 10:08 am","Pi-Portable & or Monitor."
bisun,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=165957,"Hello!
I've just a question about how to get the RSSI value. I'm using a raspberry with wheezy and an edimax dongle. I want to get the RSSI from an access point by wifi and I've tried the command line
Hcitool RSSI [MAC ADDRESS] but it doesn't work ...
Maybe this command line only works for Bluetooth
Could you help me please ?"," Tue Dec 01, 2015 2:21 am",16,"Fri Nov 20, 2015 7:10 am","Constantly obtain RSSI from Android Device"
bjs,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=13752,"Your problem is one of the dynamic range of your electronics. This is common to a lot of scientific instruments like gas chromatographs and mass spectrometers. The usual trick is to use a programmable gain amplifier to match the ADC to the signal size. That way you make best use of the resolution of your ADC and can record large seismic events in the presence of a quiet background. 16bit ADCs get seriously expensive so its worth doing a google around since there must be loads of GS and Mass Spec circuits around on the net."," Thu Mar 08, 2012 4:04 am",26,"Thu Mar 08, 2012 3:51 am","Raspi-powered seismometer/seismograph"
blaablaaguy,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=160587,"Hi,
Making a robot go back and forth using a motor controller seems pretty simple, but thats lame. So if how do you guys make them turn? Most robos chassis ive seen dont seem to have a wheels that turn from side to side so im guessing you have to make one wheel on one side go back and the other go forwards at the same time or something like that. Am I right, or is it something else?"," Sun Jan 10, 2016 7:01 am",242,"Sun Sep 27, 2015 8:26 am","Making a robot chassis turn."
blachanc,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=54211,"Well,
I learned something(correct me if I am wrong): a python script does not read the updated env variable value in a terminal. It will keep the values it reads when it is invoked.

SO I reverted back to my second idea of using a file on a ramdisk for communication(and it is working). I still wonder if there would be a better way.

this is the main display loop (display daemon):
display.py
CODE: SELECT ALL
#!/usr/bin/python
# Bert's code re-written for common anode LED arrays.
#blachanc: used dougie's code and added external data input in ramdisk
import RPi.GPIO as GPIO
import time
import sys
GPIO.setmode(GPIO.BCM)
#GPIO.setmode(GPIO.BOARD)
GPIO.setwarnings(False)
GPIO.setup(7, GPIO.IN, pull_up_down=GPIO.PUD_DOWN)

#LED pin == GPIO == segment / digit
# 11     ==  24  == a
# 07     ==  12  == b
# 04     ==  19  == c
# 02     ==  21  == d
# 01     ==  23  == e
# 10     ==  22  == f
# 05     ==  15  == g
# 03     ==  11  == dp

segments = (24,12,19,21,23,22,15,11)

for segment in segments:
  GPIO.setup(segment, GPIO.OUT)
  GPIO.output(segment, 1)

# 12     ==  26  == digit 1
# 09     ==  18  == digit 2
# 08     ==  16  == digit 3
# 06     ==  13  == digit 4

digits = (26,18,16,13)
for digit in digits:
  GPIO.setup(digit, GPIO.OUT)
  GPIO.output(digit, 0)

charactere = {' ':(1,1,1,1,1,1,1),
'0':(0,0,0,0,0,0,1),
'1':(1,0,0,1,1,1,1),
'2':(0,0,1,0,0,1,0),
'3':(0,0,0,0,1,1,0),
'4':(1,0,0,1,1,0,0),
'5':(0,1,0,0,1,0,0),
'6':(0,1,0,0,0,0,0),
'7':(0,0,0,1,1,1,1),
'8':(0,0,0,0,0,0,0),
'9':(0,0,0,0,1,0,0)}
counter=100000

##############################
# use a file on ramdisk to get the data to be displayed
# bash commands passed in terminal:
# sudo mkdir /mnt/ramdisk
# sudo mount -t tmpfs -o size=128K tmpfs /mnt/ramdisk
# sudo chown pi:pi /mnt/ramdisk
# echo ""1235"" > /mnt/ramdisk/display.dat
###############################
def get_data_to_display():
    txt=open(""/mnt/ramdisk/display.dat"")
    new_string = str(txt.readline())
    txt.close()
    new_string=new_string.rstrip()
   #
   # buf with 0 if less than 4 char
   #
    new_string= str(new_string).rjust(4,""0"")
   #
   # limit to 4 chars
   #
    new_string= new_string[0:4]
    return new_string
###########
# main loop
###########
try:
  while True:
    #
   # First we only update the data to display each x loops
   #
    counter +=1
    if (counter > 50):
       counter = 0
       new_string = get_data_to_display()
# for debug only       print  new_string
       data_to_display = new_string

    for digit in range(4):
      for loop in range(0,7):
        GPIO.output(segments[loop], charactere[data_to_display[digit]][loop])
      GPIO.output(digits[digit], 1)
      time.sleep(0.001)
      GPIO.output(digits[digit], 0)

except KeyboardInterrupt:
  GPIO.cleanup()




and this is the data being feed to the display (scrolling numbers) for proof of concept.
feedata.py:
CODE: SELECT ALL
#!/usr/bin/python

import time
import sys
counter = 0
data_to_display= ""    ""
###########
# main loop
###########
try:
  while True:
    counter +=1
    if (counter > 9):
       counter = 0
     #
     # shift the data to be displayed
     #
    data_to_display= data_to_display[1] + data_to_display[2] + data_to_display[3]+ (str(counter))[0]
    txt=open(""/mnt/ramdisk/display.dat"", ""w"" )
    txt.write(data_to_display)
    txt.close()
# For debug only    print data_to_display
    time.sleep(.5)
   
except KeyboardInterrupt:
  exit()"," Thu Nov 12, 2015 8:51 pm",442,"Fri Jan 25, 2013 10:03 pm","Controlling a 7 segment 4 digit display with "
blakeman399,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=148270,"I created a Bluetooth Proximity Light!! Check it out and subscribe for a tutorial! https://www.youtube.com/watch?v=x51BgeOjYxo"," Wed May 20, 2015 7:53 am",1,"Wed May 20, 2015 7:51 am","Bluetooth distance sensing - phone etc withou"
blaneod,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=172096,"Hi Folks,

Im new to electronics and was looking to create a little project.

I have experience coding php, html, java etc and just got a raspberry pi for xmas.

I had an idea to create a little bb target for use in the airlift range.

The idea is that when the target is hat, an led will light up red then a second hit will register orange, then a third will be Green.


After a little research i have found that some piezo elements mounted on some hard plastic should do the job. That being said i am completely new to electronics so if you could let me know what else i would need to create the target.

Thanks in advance"," Tue Jan 05, 2016 1:07 pm",1,"Tue Jan 05, 2016 12:54 pm","bb gun LED target"
Blazzik,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=58718,"Have you progressed with this any?

I just started my home AlarmPi project and I purchased a piFace with my Pi. I figured it would be a good start. I've managed to get the 3 door position sensors hooked up and working, and I can see the status of them on the piFace emulator. What would be my first steps to installing postgres and having your code work with it? Do you know what changes I would need to make in case of the piFace? I did see a wiringPi library for it...

Thanks in advance for any help you can give me!"," Fri Feb 22, 2013 7:46 pm",1,"Fri Feb 22, 2013 7:42 pm","Home Alarm System Retrofit - ""Part Deux"""
bleep42,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=13647,"slikvik wrote:
Hi

Just wanted to give kudos for your project. I've been designing something similar for the last few weeks which is how I came across your project.

One thing I'm not sure about if you don't mind. As you said, the board has a 5V output solder point but I can't work out how the wiring with the voltage regulator is working (I'm a complete electronics novice so please forgive the stupid questions below) in that configuration...

I can see you've wired it to the 12V input, but isn't the board itself still receiving (unregulated) power via it's standard wiring even with the VR soldered on ? Likewise, isn't the 5V output point receiving (unregulated) power through the board despite soldering the VR output to it?

Thanks in advance!


Hi Slikvik,
I'm not entirely sure I understand, I'll try to describe the connections.
I disconnect the centre pin of the power in socket, from the M.NT68676.2A board.
I then connect the center pin from that socket, positive, to the positive of the seperate voltage regulator board.
I connect the positive output from the seperate voltage regulator back to where the center pin was connected on the M.NT68676.2A board.
I also connect the 0V (ground) of the M.NT68676.2A board to the 0v (ground) of the seperate voltage regulator board.
The regulator board I have already set up to output 9V, this should now power the LCD and the M.NT68676.2A board, from any DC input in the range 11 to 40V.
So to recap, the M.NT68676.2A power socket positive now connects to the seperate regulator, that regulator now powers the M.NT68676.2A at 9V.
The M.NT68676.2A board has it's own built in 5V regulator, which can suppy about 2A of power.
I connect that 5V output to the Pi to power it. (see photo of the post just above yours)
Be very carefull, if you short anything out, or connect it the wrong way round, you'll almost certaily damage something.
Hope this helps.
Regards, Kevin."," Mon Mar 14, 2016 8:14 am",81,"Wed Mar 07, 2012 5:43 am","Pi-Portable & or Monitor."
Bluebarry,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=153264,"Thanks for sharing"," Mon Jul 13, 2015 3:00 am",9,"Thu Jul 09, 2015 2:54 am","FREE Desktop Guide from Bruce Smith"
